Scenerio,Participant,Distance,Orientation,Light,Speed,Glasses,FFT,Target
TV,Southasians,55,10,150,normal,eyesight,0.000832339,Blink
laboratory,Easterneuropeans,55,0,450,slow,none,0.000822173,Blink
bedroom,Easterneuropeans,50,10,250,slow,eyesight,0.000793994,Blink
bedroom,African,50,15,1250,normal,polarized,0.000777051,Blink
TV,Southasians,60,10,250,normal,none,0.000836282,Blink
bedroom,Southasians,55,5,30,slow,eyesight,0.000807568,Blink
laboratory,Southasians,55,0,250,normal,none,0.000801919,Blink
TV,Southasians,50,10,30,slow,eyesight,0.000786374,Blink
TV,Easterneuropeans,50,0,150,normal,none,0.00087172,Blink
TV,African,50,15,1250,normal,polarized,0.000857264,Blink
laboratory,Easterneuropeans,60,0,600,normal,none,0.000852959,Blink
bedroom,Southasians,55,5,1250,normal,none,0.000859525,Blink
TV,African,50,0,50,slow,eyesight,0.000819009,Blink
TV,Southasians,65,5,150,normal,none,0.000711129,Blink
laboratory,African,50,15,600,slow,eyesight,0.000746509,Blink
bedroom,African,55,15,50,normal,polarized,0.00070566,Blink
TV,Southasians,55,5,450,slow,none,0.000839846,Blink
bedroom,Easterneuropeans,50,10,150,normal,polarized,0.000773587,Blink
laboratory,Easterneuropeans,55,5,30,normal,polarized,0.0007094,Blink
bedroom,African,55,10,600,normal,none,0.00081242,Blink
TV,African,55,0,450,normal,none,0.000863497,Blink
TV,Easterneuropeans,55,10,250,slow,eyesight,0.000807338,Blink
TV,Southasians,50,0,1250,slow,eyesight,0.00086803,Blink
TV,Southasians,55,0,450,slow,polarized,0.000707696,Blink
laboratory,African,55,25,1250,normal,none,0.000702773,Blink
TV,African,60,20,30,slow,none,0.000706084,Blink
laboratory,Easterneuropeans,50,10,50,normal,none,0.00081412,Blink
laboratory,African,55,10,150,slow,none,0.000869761,Blink
bedroom,Easterneuropeans,50,25,30,slow,eyesight,0.000764773,Blink
TV,African,50,0,450,slow,eyesight,0.000749213,Blink
bedroom,Southasians,50,10,30,normal,none,0.000845527,Blink
TV,Easterneuropeans,55,15,1250,normal,eyesight,0.000757943,Blink
TV,Southasians,50,15,30,normal,none,0.000868038,Blink
TV,African,55,5,1450,slow,none,0.000791889,Blink
laboratory,Southasians,50,0,450,normal,none,0.000852784,Blink
laboratory,Southasians,60,0,50,normal,none,0.000843799,Blink
laboratory,Southasians,50,5,1000,slow,polarized,0.000708918,Blink
TV,Eastasians,50,0,250,slow,none,0.000872579,Blink
bedroom,Southasians,60,5,50,slow,eyesight,0.000790428,Blink
laboratory,Southasians,60,15,250,normal,eyesight,0.000772841,Blink
bedroom,African,50,20,1000,normal,none,0.000825264,Blink
laboratory,Easterneuropeans,55,10,1000,normal,eyesight,0.000768771,Blink
TV,African,50,0,1450,normal,none,0.000867427,Blink
laboratory,African,55,5,50,slow,none,0.000801392,Blink
TV,African,55,5,30,slow,eyesight,0.000817626,Blink
laboratory,Eastasians,55,15,250,normal,none,0.000728686,Blink
TV,Easterneuropeans,50,10,1000,normal,eyesight,0.000756182,Blink
laboratory,Southasians,50,0,30,normal,eyesight,0.000834483,Blink
TV,Easterneuropeans,55,0,600,slow,none,0.000849053,Blink
bedroom,Southasians,50,5,1450,slow,eyesight,0.000847253,Blink
TV,African,55,0,50,normal,metal,0.000709285,Blink
bedroom,Southasians,60,0,1000,slow,eyesight,0.00070176,Blink
TV,Southasians,60,0,450,normal,none,0.000715416,Blink
bedroom,Southasians,55,0,600,slow,eyesight,0.000806511,Blink
TV,Easterneuropeans,50,10,600,normal,none,0.000829906,Blink
TV,African,50,5,50,slow,none,0.000799426,Blink
TV,Southasians,55,0,50,slow,eyesight,0.000856176,Blink
bedroom,African,55,10,150,slow,eyesight,0.000779862,Blink
bedroom,Easterneuropeans,50,0,1000,slow,eyesight,0.000858404,Blink
TV,Southasians,55,5,30,normal,eyesight,0.000795087,Blink
laboratory,Southasians,55,10,150,slow,eyesight,0.000798244,Blink
TV,Southasians,50,5,30,slow,polarized,0.000702192,Blink
laboratory,Southasians,60,0,30,normal,none,0.000758071,Blink
TV,African,50,15,1450,slow,eyesight,0.000858227,Blink
laboratory,Southasians,55,0,600,fast,polarized,0.000760789,Blink
bedroom,Easterneuropeans,60,5,450,slow,none,0.000800526,Blink
TV,Southasians,60,20,30,fast,none,0.000841026,Blink
TV,Eastasians,50,10,30,slow,none,0.000725677,Blink
bedroom,African,50,0,250,normal,metal,0.000707136,Blink
TV,Southasians,50,0,30,normal,tinted,0.000715199,Blink
bedroom,African,50,0,1000,normal,none,0.000838019,Blink
laboratory,Easterneuropeans,55,5,1250,slow,polarized,0.000740692,Blink
TV,Easterneuropeans,55,15,450,normal,none,0.000858402,Blink
TV,Easterneuropeans,60,0,250,slow,tinted,0.000758885,Blink
bedroom,Southasians,50,10,250,normal,eyesight,0.00081641,Blink
laboratory,Southasians,55,0,50,normal,eyesight,0.000833497,Blink
bedroom,Easterneuropeans,50,10,50,normal,none,0.000824111,Blink
TV,African,60,5,450,normal,none,0.00082455,Blink
TV,Southasians,60,15,1000,slow,polarized,0.000764085,Blink
bedroom,Easterneuropeans,55,15,150,slow,none,0.000867674,Blink
TV,Southasians,50,10,450,slow,metal,0.00070076,Blink
TV,Eastasians,50,10,30,normal,polarized,0.000778717,Blink
bedroom,Easterneuropeans,50,10,450,slow,eyesight,0.000864109,Blink
TV,Easterneuropeans,65,10,250,normal,none,0.000742579,Blink
laboratory,Southasians,55,15,1450,normal,none,0.00079085,Blink
TV,Southasians,50,10,30,normal,none,0.000805532,Blink
bedroom,African,50,0,1000,slow,none,0.000865033,Blink
TV,Easterneuropeans,50,5,250,normal,eyesight,0.000839333,Blink
bedroom,African,50,0,450,slow,none,0.000851231,Blink
TV,Easterneuropeans,60,0,600,normal,none,0.000757344,Blink
bedroom,Southasians,50,5,1000,normal,metal,0.000706284,Blink
laboratory,Easterneuropeans,50,15,150,slow,polarized,0.000743243,Blink
bedroom,African,55,5,30,normal,none,0.000799703,Blink
TV,Southasians,50,10,1250,normal,none,0.000811942,Blink
laboratory,Southasians,50,5,250,slow,none,0.000832932,Blink
TV,African,55,10,250,normal,none,0.000837077,Blink
TV,Easterneuropeans,50,5,1000,slow,eyesight,0.000815044,Blink
laboratory,African,50,15,30,normal,eyesight,0.000816005,Blink
laboratory,Southasians,55,0,1000,normal,none,0.000811859,Blink
laboratory,Southasians,55,10,600,normal,none,0.000828455,Blink
TV,Eastasians,55,0,50,slow,eyesight,0.000842813,Blink
TV,African,50,5,150,slow,eyesight,0.000822954,Blink
laboratory,Southasians,50,10,1450,normal,eyesight,0.000777069,Blink
laboratory,Southasians,55,15,450,normal,polarized,0.000845558,Blink
laboratory,African,55,15,150,slow,none,0.000803422,Blink
bedroom,Easterneuropeans,50,60,50,slow,none,0.000720244,Blink
TV,Southasians,55,15,1450,slow,eyesight,0.000832149,Blink
bedroom,Easterneuropeans,50,5,1250,normal,polarized,0.000778723,Blink
TV,African,50,10,250,fast,none,0.000715057,Blink
bedroom,Southasians,60,10,250,normal,polarized,0.000759093,Blink
bedroom,Easterneuropeans,55,15,50,slow,eyesight,0.000825541,Blink
bedroom,African,60,15,250,slow,polarized,0.000807216,Blink
laboratory,African,60,10,1250,normal,tinted,0.000706278,Blink
bedroom,African,50,5,600,normal,eyesight,0.000790093,Blink
TV,Easterneuropeans,55,60,150,normal,none,0.000712105,Blink
TV,Easterneuropeans,50,15,150,normal,eyesight,0.00083449,Blink
bedroom,Southasians,65,0,1250,normal,none,0.000756195,Blink
TV,Easterneuropeans,50,15,1450,normal,none,0.00085387,Blink
laboratory,African,50,10,600,normal,none,0.000798969,Blink
laboratory,Southasians,55,45,600,normal,none,0.000729361,Blink
TV,Southasians,50,0,30,normal,none,0.000805174,Blink
TV,Southasians,55,15,1000,normal,metal,0.000702599,Blink
laboratory,Easterneuropeans,55,15,30,normal,tinted,0.000738755,Blink
bedroom,African,50,0,450,normal,polarized,0.000758426,Blink
TV,Easterneuropeans,50,10,50,slow,eyesight,0.000771576,Blink
laboratory,Southasians,50,10,250,normal,none,0.00082641,Blink
laboratory,Easterneuropeans,50,15,1250,normal,eyesight,0.000801475,Blink
TV,Easterneuropeans,50,10,50,normal,none,0.000839477,Blink
laboratory,Southasians,60,15,250,normal,polarized,0.000759224,Blink
laboratory,Southasians,65,15,50,normal,eyesight,0.000770396,Blink
laboratory,African,60,5,1250,slow,eyesight,0.000756476,Blink
laboratory,African,50,15,1250,slow,eyesight,0.000771255,Blink
laboratory,Eastasians,50,0,50,slow,tinted,0.000701477,Blink
bedroom,African,50,0,250,normal,none,0.000810595,Blink
TV,Southasians,55,5,1250,slow,eyesight,0.000803369,Blink
laboratory,Easterneuropeans,50,5,50,fast,none,0.000709373,Blink
TV,Southasians,55,10,600,slow,tinted,0.000706563,Blink
laboratory,Southasians,50,5,450,normal,eyesight,0.000778802,Blink
TV,African,50,15,600,slow,eyesight,0.000732268,Blink
bedroom,Easterneuropeans,55,5,150,slow,polarized,0.000702275,Blink
laboratory,Southasians,55,5,450,normal,eyesight,0.000775251,Blink
TV,Southasians,60,0,150,normal,none,0.000854964,Blink
TV,Eastasians,55,10,150,slow,eyesight,0.000777636,Blink
laboratory,African,55,15,1450,normal,none,0.000868531,Blink
laboratory,African,50,15,50,slow,none,0.000817924,Blink
TV,Southasians,65,5,1250,slow,none,0.000856548,Blink
TV,Southasians,55,10,250,slow,eyesight,0.000824592,Blink
bedroom,Easterneuropeans,50,0,450,slow,tinted,0.000703224,Blink
laboratory,African,55,0,30,normal,eyesight,0.000777334,Blink
laboratory,Southasians,65,15,50,slow,none,0.00078148,Blink
laboratory,Southasians,55,0,600,slow,none,0.000800322,Blink
laboratory,African,60,0,1000,normal,none,0.000842224,Blink
TV,Easterneuropeans,60,0,600,normal,none,0.000843342,Blink
TV,Easterneuropeans,50,0,1250,normal,polarized,0.000828758,Blink
laboratory,Southasians,65,15,1000,slow,eyesight,0.000768222,Blink
laboratory,Easterneuropeans,55,15,1000,normal,eyesight,0.000764694,Blink
TV,Easterneuropeans,65,0,50,slow,none,0.000798421,Blink
laboratory,Easterneuropeans,50,15,1250,slow,eyesight,0.000795527,Blink
TV,Southasians,50,5,250,fast,eyesight,0.000758638,Blink
laboratory,African,50,10,1250,fast,eyesight,0.00084047,Blink
laboratory,Easterneuropeans,60,0,1250,slow,none,0.000805398,Blink
TV,African,65,15,600,slow,none,0.000773458,Blink
TV,Southasians,55,0,50,normal,eyesight,0.00086702,Blink
bedroom,Easterneuropeans,55,15,1000,normal,none,0.000840601,Blink
bedroom,African,50,5,250,normal,eyesight,0.000790968,Blink
laboratory,African,50,5,1000,slow,none,0.000844154,Blink
bedroom,Southasians,50,35,1450,normal,none,0.000761782,Blink
laboratory,Easterneuropeans,50,0,250,slow,none,0.000864784,Blink
bedroom,Eastasians,55,0,30,slow,polarized,0.000780303,Blink
laboratory,African,65,10,1250,slow,none,0.000797411,Blink
TV,African,55,30,1000,slow,eyesight,0.000790335,Blink
TV,African,55,5,600,normal,eyesight,0.000773505,Blink
TV,African,55,10,1450,normal,none,0.000867776,Blink
TV,Southasians,50,15,1250,normal,none,0.000817147,Blink
bedroom,Southasians,50,5,600,normal,eyesight,0.000792365,Blink
TV,Easterneuropeans,55,15,1450,normal,none,0.000775929,Blink
laboratory,Easterneuropeans,60,0,600,slow,none,0.000872742,Blink
TV,Southasians,55,5,250,normal,none,0.000827381,Blink
TV,Southasians,55,15,1250,slow,eyesight,0.000756597,Blink
TV,Southasians,55,0,50,normal,none,0.000813602,Blink
bedroom,Easterneuropeans,55,0,50,normal,metal,0.000700171,Blink
bedroom,African,55,0,450,slow,none,0.000866329,Blink
TV,Easterneuropeans,60,10,250,slow,none,0.000865188,Blink
TV,African,55,15,50,fast,none,0.000771145,Blink
laboratory,Eastasians,55,15,250,slow,eyesight,0.00077584,Blink
laboratory,Southasians,50,5,600,slow,polarized,0.000756318,Blink
laboratory,Southasians,55,5,30,slow,eyesight,0.000873401,Blink
laboratory,African,55,5,30,normal,none,0.000849695,Blink
TV,Southasians,55,0,30,normal,eyesight,0.000834584,Blink
laboratory,African,55,0,250,normal,none,0.000855903,Blink
bedroom,Easterneuropeans,60,10,1450,normal,none,0.000829464,Blink
TV,Southasians,50,5,1250,normal,none,0.000856782,Blink
laboratory,Southasians,75,10,50,normal,none,0.000702314,Blink
bedroom,African,50,10,50,normal,polarized,0.0007633,Blink
bedroom,Easterneuropeans,55,10,50,slow,eyesight,0.00079225,Blink
laboratory,Easterneuropeans,50,10,450,normal,none,0.000867962,Blink
TV,African,50,5,250,normal,polarized,0.000759271,Blink
TV,African,65,0,250,slow,none,0.000713642,Blink
laboratory,African,55,5,1000,normal,eyesight,0.000818532,Blink
laboratory,Easterneuropeans,50,0,450,normal,eyesight,0.000763527,Blink
bedroom,Eastasians,50,0,1250,slow,none,0.000723046,Blink
laboratory,African,55,30,1000,normal,eyesight,0.000772697,Blink
TV,Easterneuropeans,55,10,50,slow,none,0.000825841,Blink
bedroom,African,50,45,150,normal,none,0.000844846,Blink
laboratory,Easterneuropeans,50,0,1250,slow,eyesight,0.000847282,Blink
bedroom,Easterneuropeans,60,10,50,normal,eyesight,0.000776677,Blink
laboratory,African,50,0,250,fast,tintednone,0.000705234,Blink
bedroom,Southasians,55,15,1450,slow,metal,0.000705068,Blink
laboratory,Easterneuropeans,60,15,150,slow,none,0.000855082,Blink
TV,African,50,0,250,normal,eyesightnone,0.000840413,Blink
TV,African,55,0,1000,slow,polarized,0.000783231,Blink
TV,Southasians,50,5,450,slow,none,0.000805563,Blink
laboratory,Southasians,55,10,1450,slow,eyesight,0.00077952,Blink
bedroom,Southasians,55,5,50,normal,eyesight,0.000785081,Blink
laboratory,African,50,0,50,normal,none,0.000867429,Blink
TV,Southasians,50,5,50,normal,eyesight,0.000802335,Blink
TV,Easterneuropeans,60,15,150,slow,none,0.00078598,Blink
TV,African,55,0,50,slow,eyesight,0.000799666,Blink
TV,Southasians,50,15,600,slow,eyesight,0.00079739,Blink
bedroom,African,55,5,450,slow,eyesight,0.000766662,Blink
bedroom,Easterneuropeans,50,0,1450,slow,polarized,0.000763677,Blink
laboratory,African,50,5,30,slow,eyesight,0.000790562,Blink
bedroom,Southasians,55,10,1450,normal,none,0.000864514,Blink
laboratory,Easterneuropeans,60,0,30,slow,eyesight,0.00078383,Blink
TV,Southasians,55,15,1450,normal,none,0.000857912,Blink
bedroom,Easterneuropeans,50,15,1000,normal,eyesight,0.000817363,Blink
laboratory,Easterneuropeans,60,0,1250,normal,none,0.000832232,Blink
TV,African,50,0,1450,slow,none,0.000800315,Blink
laboratory,Southasians,50,10,600,normal,none,0.000856905,Blink
TV,Easterneuropeans,55,10,450,slow,none,0.00084302,Blink
bedroom,Easterneuropeans,55,15,1000,slow,none,0.000851138,Blink
TV,Easterneuropeans,55,15,150,normal,eyesight,0.000822611,Blink
bedroom,Easterneuropeans,55,0,1450,slow,polarized,0.000778616,Blink
TV,Eastasians,65,60,1250,fast,polarized,0.000149493,Nonblink
laboratory,Eastasians,65,35,600,fast,none,0.000293477,Nonblink
TV,Eastasians,70,10,50,fast,metal,0.000634735,Nonblink
laboratory,Eastasians,55,40,600,fast,eyesight,0.000626024,Nonblink
bedroom,Eastasians,70,25,600,fast,polarized,0.000550319,Nonblink
TV,Eastasians,70,40,450,fast,tinted,0.000418652,Nonblink
bedroom,Eastasians,50,20,1000,slow,tinted,0.000365482,Nonblink
TV,Eastasians,75,35,150,fast,polarized,0.000494304,Nonblink
bedroom,Eastasians,55,20,250,fast,tinted,0.000634233,Nonblink
TV,Eastasians,75,0,250,normal,polarized,0.000206846,Nonblink
bedroom,Eastasians,70,55,1450,fast,none,0.000583971,Nonblink
laboratory,Eastasians,55,0,30,normal,eyesight,0.000485644,Nonblink
laboratory,Eastasians,60,60,600,fast,polarized,0.000409935,Nonblink
laboratory,Eastasians,70,10,450,fast,metal,0.000651155,Nonblink
laboratory,Eastasians,55,25,30,normal,tinted,0.000609737,Nonblink
TV,Eastasians,50,20,1450,fast,polarized,0.000412619,Nonblink
TV,African,70,45,1450,fast,none,0.000538846,Nonblink
bedroom,Eastasians,60,55,1450,normal,eyesight,0.000187192,Nonblink
bedroom,Eastasians,50,60,450,fast,tinted,0.000239843,Nonblink
bedroom,Eastasians,75,45,30,fast,metal,0.000489961,Nonblink
TV,Eastasians,60,55,1450,fast,tinted,0.000472935,Nonblink
bedroom,Eastasians,70,55,1450,fast,eyesight,0.000313934,Nonblink
laboratory,Eastasians,70,45,450,fast,polarized,0.000333611,Nonblink
bedroom,Eastasians,65,55,600,fast,metal,0.000652821,Nonblink
laboratory,Eastasians,60,60,1250,normal,polarized,0.000442981,Nonblink
TV,Eastasians,70,25,150,fast,tinted,0.000394967,Nonblink
TV,Eastasians,60,30,1000,fast,none,0.00047112,Nonblink
bedroom,Eastasians,70,35,250,fast,polarized,0.000663002,Nonblink
TV,African,55,40,1000,slow,none,0.000554126,Nonblink
TV,Eastasians,65,60,150,fast,metal,0.000366292,Nonblink
laboratory,Eastasians,60,40,1000,fast,polarized,0.000652941,Nonblink
bedroom,African,60,55,30,fast,polarized,0.000484718,Nonblink
bedroom,Easterneuropeans,75,20,250,slow,none,0.000259675,Nonblink
bedroom,Eastasians,75,45,450,fast,tinted,0.000359984,Nonblink
TV,Eastasians,75,20,1000,slow,tinted,0.000594831,Nonblink
TV,Eastasians,70,55,1250,normal,eyesight,0.000612066,Nonblink
laboratory,Eastasians,70,55,1450,fast,polarized,0.000405748,Nonblink
TV,Southasians,75,45,1450,fast,polarized,0.000267923,Nonblink
laboratory,Eastasians,70,60,150,fast,polarized,0.000355689,Nonblink
TV,Eastasians,65,40,1250,fast,polarized,0.000452598,Nonblink
bedroom,African,75,40,250,fast,eyesight,0.000251801,Nonblink
TV,Eastasians,55,10,30,normal,metal,0.000446843,Nonblink
TV,Eastasians,75,25,1000,fast,tinted,0.000510624,Nonblink
laboratory,Eastasians,60,45,150,fast,polarized,0.000643635,Nonblink
bedroom,Eastasians,65,60,250,fast,tinted,0.000532473,Nonblink
TV,Eastasians,65,40,250,fast,metal,0.000280729,Nonblink
laboratory,African,75,15,1450,fast,tinted,0.000427108,Nonblink
laboratory,Eastasians,75,25,30,fast,polarized,0.000166446,Nonblink
bedroom,Eastasians,75,45,450,slow,tinted,0.00056873,Nonblink
TV,Eastasians,65,20,450,fast,polarized,0.000212093,Nonblink
bedroom,Eastasians,75,25,1250,normal,polarized,0.000573729,Nonblink
TV,Eastasians,70,55,1450,fast,polarized,0.000620372,Nonblink
laboratory,Eastasians,60,20,600,fast,metal,0.000440827,Nonblink
bedroom,Eastasians,65,35,1250,fast,polarized,0.000328238,Nonblink
bedroom,Eastasians,70,25,150,fast,metal,0.000239329,Nonblink
laboratory,Eastasians,65,5,150,fast,tinted,0.00044717,Nonblink
bedroom,Eastasians,60,40,30,fast,tinted,0.000466526,Nonblink
laboratory,Eastasians,70,55,600,fast,eyesight,0.000430753,Nonblink
TV,African,60,25,50,fast,tinted,0.000370859,Nonblink
bedroom,Eastasians,75,45,450,fast,metal,0.000482859,Nonblink
laboratory,Eastasians,70,15,1450,slow,polarized,0.000338799,Nonblink
laboratory,Eastasians,60,20,1450,fast,tinted,0.000192016,Nonblink
bedroom,Eastasians,60,35,1250,fast,none,0.000451833,Nonblink
bedroom,Eastasians,70,20,1000,fast,tinted,0.000318999,Nonblink
TV,Southasians,70,20,250,fast,eyesight,0.000243572,Nonblink
bedroom,Eastasians,60,20,250,fast,tinted,0.00025208,Nonblink
bedroom,Southasians,50,20,1000,fast,tinted,0.000276049,Nonblink
bedroom,Eastasians,70,30,600,fast,metal,0.000203387,Nonblink
bedroom,Eastasians,60,30,600,fast,polarized,0.000600874,Nonblink
bedroom,Eastasians,75,55,30,fast,tinted,0.000236552,Nonblink
laboratory,Eastasians,75,35,600,fast,metal,0.000595676,Nonblink
TV,Eastasians,70,60,1450,fast,metal,0.000224663,Nonblink
bedroom,African,65,40,250,fast,polarized,0.000140955,Nonblink
laboratory,Eastasians,75,45,150,fast,metal,0.000344473,Nonblink
laboratory,Eastasians,55,60,30,fast,metal,0.00021602,Nonblink
bedroom,Southasians,75,25,150,normal,tinted,0.000593965,Nonblink
laboratory,African,70,20,1250,normal,tinted,0.000581613,Nonblink
bedroom,Eastasians,65,60,1450,fast,metal,0.000559668,Nonblink
bedroom,Eastasians,60,60,1000,fast,tinted,0.000251121,Nonblink
TV,Southasians,60,60,1250,fast,polarized,0.000472922,Nonblink
bedroom,Eastasians,70,20,250,slow,polarized,0.000646669,Nonblink
laboratory,Eastasians,65,60,450,normal,tinted,0.000541163,Nonblink
laboratory,Eastasians,65,60,600,fast,polarized,0.00028107,Nonblink
laboratory,Eastasians,65,55,1450,fast,polarized,0.000222325,Nonblink
TV,Eastasians,50,20,250,slow,polarized,0.000324716,Nonblink
bedroom,Easterneuropeans,65,30,250,fast,metal,0.000369723,Nonblink
laboratory,Eastasians,70,45,600,fast,metal,0.000227547,Nonblink
bedroom,Eastasians,60,45,50,normal,metal,0.000492745,Nonblink
bedroom,Southasians,75,35,250,fast,metal,0.000264523,Nonblink
bedroom,Eastasians,75,60,150,fast,polarized,0.000461281,Nonblink
laboratory,Eastasians,65,5,600,fast,metal,0.000229841,Nonblink
